TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN76739,2025-05-01,983,FAILED,ADY2,Adyar,Chennai,CREDIT CARD,Exceeded Limit
TXN22988,2025-05-01,1889,SUCCESS,ADY4,Adyar,Chennai,DEBIT CARD,
TXN43861,2025-05-01,5192,SUCCESS,ADY5,Adyar,Chennai,NEFT,
TXN68253,2025-05-01,5798,FAILED,ADY3,Adyar,Chennai,NEFT,Invalid Account Number
TXN15770,2025-05-01,5250,SUCCESS,ADY6,Adyar,Chennai,CREDIT CARD,
TXN52955,2025-05-01,6740,FAILED,ADY6,Adyar,Chennai,CASH,Insufficient Funds
TXN67883,2025-05-01,2017,SUCCESS,ADY7,Adyar,Chennai,CREDIT CARD,
TXN39608,2025-05-02,1836,SUCCESS,ADY2,Adyar,Chennai,CASH,
TXN78383,2025-05-02,228,SUCCESS,ADY3,Adyar,Chennai,DEBIT CARD,
TXN98093,2025-05-02,7966,SUCCESS,ADY1,Adyar,Chennai,CREDIT CARD,
TXN33699,2025-05-02,5600,FAILED,ADY6,Adyar,Chennai,DEBIT CARD,Account Blocked
TXN73851,2025-05-02,6964,SUCCESS,ADY4,Adyar,Chennai,DEBIT CARD,
TXN50802,2025-05-02,4852,SUCCESS,ADY6,Adyar,Chennai,NEFT,
TXN45337,2025-05-02,6666,SUCCESS,ADY1,Adyar,Chennai,NEFT,
TXN76097,2025-05-03,4219,SUCCESS,ADY3,Adyar,Chennai,CREDIT CARD,
TXN89423,2025-05-03,8636,FAILED,ADY3,Adyar,Chennai,DEBIT CARD,Technical Error
TXN23557,2025-05-03,2019,FAILED,ADY8,Adyar,Chennai,CREDIT CARD,Insufficient Funds
TXN76409,2025-05-03,7270,SUCCESS,ADY7,Adyar,Chennai,DEBIT CARD,
TXN42379,2025-05-03,8934,SUCCESS,ADY3,Adyar,Chennai,CASH,
TXN95801,2025-05-03,985,FAILED,ADY9,Adyar,Chennai,CASH,Network Timeout
TXN82472,2025-05-03,8558,SUCCESS,ADY2,Adyar,Chennai,NEFT,
TXN94432,2025-05-04,7576,SUCCESS,ADY1,Adyar,Chennai,NEFT,
TXN50458,2025-05-04,3053,SUCCESS,ADY5,Adyar,Chennai,DEBIT CARD,
TXN73500,2025-05-04,2245,FAILED,ADY3,Adyar,Chennai,NEFT,Insufficient Funds
TXN94892,2025-05-04,3451,SUCCESS,ADY4,Adyar,Chennai,CREDIT CARD,
TXN16443,2025-05-04,1013,SUCCESS,ADY7,Adyar,Chennai,NEFT,
TXN92600,2025-05-04,3484,FAILED,ADY6,Adyar,Chennai,CREDIT CARD,Account Blocked
TXN56102,2025-05-04,4020,SUCCESS,ADY6,Adyar,Chennai,CASH,
TXN66484,2025-05-05,7916,SUCCESS,ADY2,Adyar,Chennai,DEBIT CARD,
TXN32528,2025-05-05,2916,FAILED,ADY8,Adyar,Chennai,CASH,Invalid Account Number
TXN18686,2025-05-05,4919,SUCCESS,ADY7,Adyar,Chennai,DEBIT CARD,
TXN40597,2025-05-05,2080,FAILED,ADY1,Adyar,Chennai,NEFT,Invalid Account Number
TXN36334,2025-05-05,9685,SUCCESS,ADY1,Adyar,Chennai,NEFT,
TXN69930,2025-05-05,666,FAILED,ADY4,Adyar,Chennai,CREDIT CARD,Invalid Account Number
TXN19825,2025-05-05,3033,FAILED,ADY3,Adyar,Chennai,CASH,Account Blocked
TXN39634,2025-05-06,1418,SUCCESS,ADY7,Adyar,Chennai,NEFT,
TXN18136,2025-05-06,544,SUCCESS,ADY8,Adyar,Chennai,CASH,
TXN75014,2025-05-06,7774,SUCCESS,ADY1,Adyar,Chennai,DEBIT CARD,
TXN33591,2025-05-06,2406,FAILED,ADY4,Adyar,Chennai,DEBIT CARD,Account Blocked
TXN15212,2025-05-06,8173,SUCCESS,ADY6,Adyar,Chennai,NEFT,
TXN26628,2025-05-06,3706,FAILED,ADY9,Adyar,Chennai,CASH,Invalid Account Number
TXN19903,2025-05-06,5550,SUCCESS,ADY6,Adyar,Chennai,NEFT,
TXN73691,2025-05-07,832,SUCCESS,ADY5,Adyar,Chennai,CREDIT CARD,
TXN87031,2025-05-07,793,SUCCESS,ADY6,Adyar,Chennai,DEBIT CARD,
TXN38099,2025-05-07,7644,SUCCESS,ADY9,Adyar,Chennai,DEBIT CARD,
TXN91103,2025-05-07,1880,SUCCESS,ADY3,Adyar,Chennai,NEFT,
TXN82998,2025-05-07,2883,SUCCESS,ADY2,Adyar,Chennai,NEFT,
TXN14794,2025-05-07,7376,SUCCESS,ADY9,Adyar,Chennai,CASH,
TXN69642,2025-05-07,2517,SUCCESS,ADY8,Adyar,Chennai,CREDIT CARD,
