TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN76849,2025-05-01,9705,FAILED,ANN4,Anna Nagar,Chennai,CREDIT CARD,Network Timeout
TXN33530,2025-05-01,3910,SUCCESS,ANN7,Anna Nagar,Chennai,CASH,
TXN73798,2025-05-01,4012,FAILED,ANN4,Anna Nagar,Chennai,NEFT,Invalid Account Number
TXN88756,2025-05-01,7389,SUCCESS,ANN2,Anna Nagar,Chennai,CASH,
TXN10197,2025-05-01,6827,SUCCESS,ANN5,Anna Nagar,Chennai,CASH,
TXN84132,2025-05-01,440,SUCCESS,ANN7,Anna Nagar,Chennai,CREDIT CARD,
TXN93651,2025-05-01,2331,FAILED,ANN6,Anna Nagar,Chennai,DEBIT CARD,Technical Error
TXN38069,2025-05-02,499,SUCCESS,ANN9,Anna Nagar,Chennai,CASH,
TXN35889,2025-05-02,7739,FAILED,ANN4,Anna Nagar,Chennai,DEBIT CARD,Account Blocked
TXN88724,2025-05-02,9912,FAILED,ANN6,Anna Nagar,Chennai,CASH,Account Blocked
TXN84845,2025-05-02,2540,SUCCESS,ANN5,Anna Nagar,Chennai,CASH,
TXN37140,2025-05-02,4725,SUCCESS,ANN6,Anna Nagar,Chennai,NEFT,
TXN82990,2025-05-02,3136,SUCCESS,ANN5,Anna Nagar,Chennai,CASH,
TXN44571,2025-05-02,7116,FAILED,ANN8,Anna Nagar,Chennai,DEBIT CARD,Exceeded Limit
TXN98500,2025-05-03,4449,SUCCESS,ANN6,Anna Nagar,Chennai,DEBIT CARD,
TXN53169,2025-05-03,7527,SUCCESS,ANN1,Anna Nagar,Chennai,CASH,
TXN60817,2025-05-03,9869,FAILED,ANN4,Anna Nagar,Chennai,DEBIT CARD,Account Blocked
TXN66394,2025-05-03,1595,FAILED,ANN4,Anna Nagar,Chennai,CASH,Account Blocked
TXN51480,2025-05-03,6644,FAILED,ANN1,Anna Nagar,Chennai,NEFT,Technical Error
TXN99266,2025-05-03,1696,SUCCESS,ANN4,Anna Nagar,Chennai,DEBIT CARD,
TXN39008,2025-05-03,5266,SUCCESS,ANN7,Anna Nagar,Chennai,DEBIT CARD,
TXN78366,2025-05-04,3863,FAILED,ANN7,Anna Nagar,Chennai,CASH,Exceeded Limit
TXN99937,2025-05-04,5705,FAILED,ANN7,Anna Nagar,Chennai,DEBIT CARD,Account Blocked
TXN86025,2025-05-04,162,SUCCESS,ANN9,Anna Nagar,Chennai,NEFT,
TXN26627,2025-05-04,9003,SUCCESS,ANN3,Anna Nagar,Chennai,CASH,
TXN79916,2025-05-04,2407,SUCCESS,ANN6,Anna Nagar,Chennai,DEBIT CARD,
TXN12051,2025-05-04,3417,FAILED,ANN3,Anna Nagar,Chennai,NEFT,Technical Error
TXN23832,2025-05-04,1493,SUCCESS,ANN2,Anna Nagar,Chennai,CREDIT CARD,
TXN43042,2025-05-05,5786,SUCCESS,ANN6,Anna Nagar,Chennai,NEFT,
TXN62230,2025-05-05,8021,FAILED,ANN4,Anna Nagar,Chennai,NEFT,Account Blocked
TXN36742,2025-05-05,9191,SUCCESS,ANN5,Anna Nagar,Chennai,NEFT,
TXN45061,2025-05-05,8441,SUCCESS,ANN1,Anna Nagar,Chennai,CREDIT CARD,
TXN98662,2025-05-05,1762,SUCCESS,ANN2,Anna Nagar,Chennai,CREDIT CARD,
TXN50926,2025-05-05,586,SUCCESS,ANN8,Anna Nagar,Chennai,NEFT,
TXN87429,2025-05-05,871,FAILED,ANN9,Anna Nagar,Chennai,CREDIT CARD,Insufficient Funds
TXN42937,2025-05-06,3949,SUCCESS,ANN9,Anna Nagar,Chennai,CREDIT CARD,
TXN41069,2025-05-06,3647,SUCCESS,ANN3,Anna Nagar,Chennai,CREDIT CARD,
TXN45228,2025-05-06,6046,SUCCESS,ANN5,Anna Nagar,Chennai,DEBIT CARD,
TXN91811,2025-05-06,993,SUCCESS,ANN9,Anna Nagar,Chennai,DEBIT CARD,
TXN46628,2025-05-06,903,FAILED,ANN7,Anna Nagar,Chennai,CASH,Insufficient Funds
TXN91935,2025-05-06,4302,SUCCESS,ANN3,Anna Nagar,Chennai,CREDIT CARD,
TXN87637,2025-05-06,4061,SUCCESS,ANN9,Anna Nagar,Chennai,CREDIT CARD,
TXN58251,2025-05-07,4044,SUCCESS,ANN5,Anna Nagar,Chennai,NEFT,
TXN30276,2025-05-07,8567,SUCCESS,ANN8,Anna Nagar,Chennai,DEBIT CARD,
TXN18580,2025-05-07,2816,SUCCESS,ANN5,Anna Nagar,Chennai,CREDIT CARD,
TXN43538,2025-05-07,3347,FAILED,ANN7,Anna Nagar,Chennai,CASH,Technical Error
TXN82223,2025-05-07,6902,FAILED,ANN6,Anna Nagar,Chennai,DEBIT CARD,Account Blocked
TXN88794,2025-05-07,8524,SUCCESS,ANN5,Anna Nagar,Chennai,CREDIT CARD,
TXN56339,2025-05-07,3344,FAILED,ANN5,Anna Nagar,Chennai,DEBIT CARD,Network Timeout
