TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN65760,2025-05-01,3495,SUCCESS,BTM9,BTM,Bangalore,NEFT,
TXN70533,2025-05-01,4014,SUCCESS,BTM1,BTM,Bangalore,CREDIT CARD,
TXN51223,2025-05-01,161,SUCCESS,BTM5,BTM,Bangalore,NEFT,
TXN79109,2025-05-01,3050,FAILED,BTM4,BTM,Bangalore,CREDIT CARD,Exceeded Limit
TXN29416,2025-05-01,9676,SUCCESS,BTM3,BTM,Bangalore,NEFT,
TXN17194,2025-05-01,4669,SUCCESS,BTM8,BTM,Bangalore,DEBIT CARD,
TXN37334,2025-05-01,8184,SUCCESS,BTM9,BTM,Bangalore,CREDIT CARD,
TXN42973,2025-05-02,5572,FAILED,BTM7,BTM,Bangalore,CASH,Network Timeout
TXN45836,2025-05-02,3417,SUCCESS,BTM9,BTM,Bangalore,CASH,
TXN65199,2025-05-02,2158,SUCCESS,BTM4,BTM,Bangalore,NEFT,
TXN19632,2025-05-02,8140,SUCCESS,BTM3,BTM,Bangalore,CASH,
TXN69458,2025-05-02,328,SUCCESS,BTM8,BTM,Bangalore,DEBIT CARD,
TXN17592,2025-05-02,7177,SUCCESS,BTM6,BTM,Bangalore,CREDIT CARD,
TXN36675,2025-05-02,7269,SUCCESS,BTM8,BTM,Bangalore,CASH,
TXN34098,2025-05-03,4433,FAILED,BTM2,BTM,Bangalore,DEBIT CARD,Exceeded Limit
TXN90899,2025-05-03,3352,SUCCESS,BTM9,BTM,Bangalore,CREDIT CARD,
TXN67077,2025-05-03,1756,SUCCESS,BTM2,BTM,Bangalore,DEBIT CARD,
TXN45765,2025-05-03,6660,FAILED,BTM5,BTM,Bangalore,CASH,Exceeded Limit
TXN37635,2025-05-03,1743,SUCCESS,BTM9,BTM,Bangalore,DEBIT CARD,
TXN76741,2025-05-03,9145,SUCCESS,BTM3,BTM,Bangalore,CREDIT CARD,
TXN94421,2025-05-03,190,FAILED,BTM8,BTM,Bangalore,CASH,Network Timeout
TXN97909,2025-05-04,2751,SUCCESS,BTM4,BTM,Bangalore,DEBIT CARD,
TXN43203,2025-05-04,3411,SUCCESS,BTM6,BTM,Bangalore,CASH,
TXN40548,2025-05-04,5112,SUCCESS,BTM7,BTM,Bangalore,CREDIT CARD,
TXN63483,2025-05-04,9290,SUCCESS,BTM9,BTM,Bangalore,NEFT,
TXN56834,2025-05-04,2116,SUCCESS,BTM3,BTM,Bangalore,NEFT,
TXN61941,2025-05-04,9564,FAILED,BTM4,BTM,Bangalore,NEFT,Account Blocked
TXN26921,2025-05-04,4439,SUCCESS,BTM9,BTM,Bangalore,NEFT,
TXN43982,2025-05-05,1354,SUCCESS,BTM9,BTM,Bangalore,DEBIT CARD,
TXN45392,2025-05-05,3670,SUCCESS,BTM4,BTM,Bangalore,CREDIT CARD,
TXN76415,2025-05-05,5414,FAILED,BTM5,BTM,Bangalore,CASH,Invalid Account Number
TXN94928,2025-05-05,8210,SUCCESS,BTM3,BTM,Bangalore,CREDIT CARD,
TXN29317,2025-05-05,999,FAILED,BTM4,BTM,Bangalore,CREDIT CARD,Insufficient Funds
TXN52001,2025-05-05,5833,FAILED,BTM8,BTM,Bangalore,CASH,Exceeded Limit
TXN90026,2025-05-05,6687,FAILED,BTM4,BTM,Bangalore,CASH,Insufficient Funds
TXN17364,2025-05-06,4229,SUCCESS,BTM4,BTM,Bangalore,NEFT,
TXN91066,2025-05-06,5406,SUCCESS,BTM1,BTM,Bangalore,CREDIT CARD,
TXN74682,2025-05-06,7678,FAILED,BTM6,BTM,Bangalore,CASH,Network Timeout
TXN16870,2025-05-06,5771,SUCCESS,BTM2,BTM,Bangalore,CASH,
TXN30635,2025-05-06,1864,FAILED,BTM7,BTM,Bangalore,CREDIT CARD,Invalid Account Number
TXN50275,2025-05-06,314,SUCCESS,BTM4,BTM,Bangalore,NEFT,
TXN40354,2025-05-06,5495,SUCCESS,BTM8,BTM,Bangalore,CREDIT CARD,
TXN51106,2025-05-07,3447,SUCCESS,BTM2,BTM,Bangalore,CREDIT CARD,
TXN87371,2025-05-07,8430,FAILED,BTM6,BTM,Bangalore,DEBIT CARD,Network Timeout
TXN64931,2025-05-07,2873,SUCCESS,BTM2,BTM,Bangalore,DEBIT CARD,
TXN27266,2025-05-07,2504,SUCCESS,BTM3,BTM,Bangalore,DEBIT CARD,
TXN54275,2025-05-07,444,SUCCESS,BTM7,BTM,Bangalore,CASH,
TXN26062,2025-05-07,4783,SUCCESS,BTM8,BTM,Bangalore,NEFT,
TXN67092,2025-05-07,4742,FAILED,BTM6,BTM,Bangalore,CASH,Technical Error
