TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN41829,2025-05-01,7873,FAILED,HAD9,Hadapsar,Pune,CREDIT CARD,Account Blocked
TXN63498,2025-05-01,5291,SUCCESS,HAD4,Hadapsar,Pune,CASH,
TXN24353,2025-05-01,140,FAILED,HAD5,Hadapsar,Pune,CASH,Exceeded Limit
TXN81561,2025-05-01,6577,SUCCESS,HAD8,Hadapsar,Pune,NEFT,
TXN36198,2025-05-01,249,FAILED,HAD9,Hadapsar,Pune,DEBIT CARD,Exceeded Limit
TXN61019,2025-05-01,740,SUCCESS,HAD6,Hadapsar,Pune,CREDIT CARD,
TXN47992,2025-05-01,532,SUCCESS,HAD2,Hadapsar,Pune,CREDIT CARD,
TXN17502,2025-05-02,8129,SUCCESS,HAD3,Hadapsar,Pune,CREDIT CARD,
TXN83954,2025-05-02,1600,SUCCESS,HAD8,Hadapsar,Pune,DEBIT CARD,
TXN34930,2025-05-02,5778,SUCCESS,HAD6,Hadapsar,Pune,CASH,
TXN55814,2025-05-02,6859,SUCCESS,HAD3,Hadapsar,Pune,CASH,
TXN64131,2025-05-02,9385,SUCCESS,HAD1,Hadapsar,Pune,NEFT,
TXN22570,2025-05-02,6056,FAILED,HAD7,Hadapsar,Pune,CREDIT CARD,Network Timeout
TXN55258,2025-05-02,3252,SUCCESS,HAD5,Hadapsar,Pune,DEBIT CARD,
TXN21117,2025-05-03,7890,SUCCESS,HAD7,Hadapsar,Pune,CASH,
TXN48438,2025-05-03,9709,SUCCESS,HAD1,Hadapsar,Pune,CASH,
TXN54244,2025-05-03,577,SUCCESS,HAD2,Hadapsar,Pune,CREDIT CARD,
TXN92220,2025-05-03,3002,SUCCESS,HAD3,Hadapsar,Pune,CASH,
TXN74113,2025-05-03,5007,SUCCESS,HAD1,Hadapsar,Pune,CASH,
TXN56481,2025-05-03,6462,SUCCESS,HAD1,Hadapsar,Pune,DEBIT CARD,
TXN56290,2025-05-03,5249,SUCCESS,HAD5,Hadapsar,Pune,CASH,
TXN38354,2025-05-04,4556,SUCCESS,HAD6,Hadapsar,Pune,DEBIT CARD,
TXN78972,2025-05-04,3833,SUCCESS,HAD8,Hadapsar,Pune,DEBIT CARD,
TXN18000,2025-05-04,8932,SUCCESS,HAD7,Hadapsar,Pune,CASH,
TXN55136,2025-05-04,462,SUCCESS,HAD3,Hadapsar,Pune,DEBIT CARD,
TXN34256,2025-05-04,6761,FAILED,HAD7,Hadapsar,Pune,NEFT,Exceeded Limit
TXN54287,2025-05-04,6667,SUCCESS,HAD5,Hadapsar,Pune,DEBIT CARD,
TXN47314,2025-05-04,2981,SUCCESS,HAD8,Hadapsar,Pune,NEFT,
TXN37247,2025-05-05,7303,FAILED,HAD8,Hadapsar,Pune,DEBIT CARD,Invalid Account Number
TXN48048,2025-05-05,8153,FAILED,HAD5,Hadapsar,Pune,CASH,Network Timeout
TXN63880,2025-05-05,6690,FAILED,HAD4,Hadapsar,Pune,CREDIT CARD,Exceeded Limit
TXN20871,2025-05-05,3774,FAILED,HAD2,Hadapsar,Pune,CASH,Technical Error
TXN91096,2025-05-05,3684,SUCCESS,HAD5,Hadapsar,Pune,NEFT,
TXN22594,2025-05-05,497,SUCCESS,HAD4,Hadapsar,Pune,NEFT,
TXN18338,2025-05-05,3536,SUCCESS,HAD6,Hadapsar,Pune,NEFT,
TXN47262,2025-05-06,6768,SUCCESS,HAD2,Hadapsar,Pune,NEFT,
TXN83305,2025-05-06,8887,SUCCESS,HAD6,Hadapsar,Pune,CASH,
TXN24641,2025-05-06,1678,SUCCESS,HAD9,Hadapsar,Pune,CASH,
TXN29018,2025-05-06,5926,SUCCESS,HAD5,Hadapsar,Pune,NEFT,
TXN50158,2025-05-06,4078,SUCCESS,HAD9,Hadapsar,Pune,NEFT,
TXN70240,2025-05-06,8397,SUCCESS,HAD8,Hadapsar,Pune,CREDIT CARD,
TXN47998,2025-05-06,7061,SUCCESS,HAD2,Hadapsar,Pune,DEBIT CARD,
TXN63675,2025-05-07,8359,SUCCESS,HAD1,Hadapsar,Pune,CREDIT CARD,
TXN70732,2025-05-07,6496,FAILED,HAD6,Hadapsar,Pune,NEFT,Invalid Account Number
TXN17066,2025-05-07,616,SUCCESS,HAD3,Hadapsar,Pune,CASH,
TXN62968,2025-05-07,3872,FAILED,HAD2,Hadapsar,Pune,NEFT,Insufficient Funds
TXN85849,2025-05-07,4970,SUCCESS,HAD6,Hadapsar,Pune,NEFT,
TXN47415,2025-05-07,5192,SUCCESS,HAD7,Hadapsar,Pune,DEBIT CARD,
TXN72621,2025-05-07,9214,SUCCESS,HAD7,Hadapsar,Pune,CASH,
