TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN90252,2025-05-01,4932,SUCCESS,HIN3,Hinjewadi,Pune,CREDIT CARD,
TXN38290,2025-05-01,6711,SUCCESS,HIN2,Hinjewadi,Pune,CREDIT CARD,
TXN65474,2025-05-01,4405,SUCCESS,HIN6,Hinjewadi,Pune,NEFT,
TXN72119,2025-05-01,9130,SUCCESS,HIN2,Hinjewadi,Pune,NEFT,
TXN37828,2025-05-01,2071,FAILED,HIN5,Hinjewadi,Pune,CREDIT CARD,Technical Error
TXN61296,2025-05-01,1759,SUCCESS,HIN8,Hinjewadi,Pune,DEBIT CARD,
TXN41791,2025-05-01,6138,SUCCESS,HIN8,Hinjewadi,Pune,DEBIT CARD,
TXN97613,2025-05-02,2654,SUCCESS,HIN5,Hinjewadi,Pune,CREDIT CARD,
TXN69508,2025-05-02,368,SUCCESS,HIN5,Hinjewadi,Pune,CASH,
TXN82359,2025-05-02,9252,SUCCESS,HIN1,Hinjewadi,Pune,DEBIT CARD,
TXN92163,2025-05-02,5321,SUCCESS,HIN7,Hinjewadi,Pune,NEFT,
TXN60120,2025-05-02,664,FAILED,HIN3,Hinjewadi,Pune,CASH,Account Blocked
TXN26494,2025-05-02,2819,SUCCESS,HIN4,Hinjewadi,Pune,NEFT,
TXN32124,2025-05-02,5087,SUCCESS,HIN9,Hinjewadi,Pune,CASH,
TXN21843,2025-05-03,1259,SUCCESS,HIN3,Hinjewadi,Pune,NEFT,
TXN82887,2025-05-03,9295,SUCCESS,HIN2,Hinjewadi,Pune,NEFT,
TXN81825,2025-05-03,1166,SUCCESS,HIN1,Hinjewadi,Pune,CREDIT CARD,
TXN59436,2025-05-03,624,SUCCESS,HIN2,Hinjewadi,Pune,NEFT,
TXN26396,2025-05-03,3560,SUCCESS,HIN8,Hinjewadi,Pune,NEFT,
TXN73947,2025-05-03,4354,SUCCESS,HIN9,Hinjewadi,Pune,NEFT,
TXN14059,2025-05-03,1236,SUCCESS,HIN9,Hinjewadi,Pune,CASH,
TXN65139,2025-05-04,8462,SUCCESS,HIN3,Hinjewadi,Pune,CASH,
TXN40453,2025-05-04,6446,FAILED,HIN4,Hinjewadi,Pune,CASH,Network Timeout
TXN68800,2025-05-04,7154,SUCCESS,HIN7,Hinjewadi,Pune,CASH,
TXN78782,2025-05-04,1012,SUCCESS,HIN8,Hinjewadi,Pune,CREDIT CARD,
TXN35938,2025-05-04,8631,FAILED,HIN6,Hinjewadi,Pune,DEBIT CARD,Account Blocked
TXN17693,2025-05-04,1997,SUCCESS,HIN4,Hinjewadi,Pune,NEFT,
TXN76072,2025-05-04,3384,SUCCESS,HIN5,Hinjewadi,Pune,CREDIT CARD,
TXN77087,2025-05-05,8147,SUCCESS,HIN1,Hinjewadi,Pune,CREDIT CARD,
TXN73216,2025-05-05,8932,SUCCESS,HIN3,Hinjewadi,Pune,CASH,
TXN39846,2025-05-05,9667,FAILED,HIN1,Hinjewadi,Pune,NEFT,Invalid Account Number
TXN19235,2025-05-05,1267,SUCCESS,HIN1,Hinjewadi,Pune,NEFT,
TXN58072,2025-05-05,8009,SUCCESS,HIN5,Hinjewadi,Pune,DEBIT CARD,
TXN80494,2025-05-05,1409,SUCCESS,HIN4,Hinjewadi,Pune,CASH,
TXN54365,2025-05-05,7205,FAILED,HIN9,Hinjewadi,Pune,CASH,Account Blocked
TXN41694,2025-05-06,6832,SUCCESS,HIN1,Hinjewadi,Pune,NEFT,
TXN72319,2025-05-06,4740,SUCCESS,HIN9,Hinjewadi,Pune,DEBIT CARD,
TXN42018,2025-05-06,1316,SUCCESS,HIN3,Hinjewadi,Pune,CREDIT CARD,
TXN25426,2025-05-06,8629,SUCCESS,HIN9,Hinjewadi,Pune,CREDIT CARD,
TXN82212,2025-05-06,9769,SUCCESS,HIN3,Hinjewadi,Pune,CASH,
TXN23646,2025-05-06,3491,SUCCESS,HIN4,Hinjewadi,Pune,CASH,
TXN22019,2025-05-06,3596,SUCCESS,HIN4,Hinjewadi,Pune,CASH,
TXN39563,2025-05-07,8409,FAILED,HIN1,Hinjewadi,Pune,NEFT,Insufficient Funds
TXN10492,2025-05-07,838,SUCCESS,HIN4,Hinjewadi,Pune,NEFT,
TXN70650,2025-05-07,8724,SUCCESS,HIN5,Hinjewadi,Pune,CASH,
TXN26477,2025-05-07,5942,FAILED,HIN2,Hinjewadi,Pune,DEBIT CARD,Invalid Account Number
TXN38654,2025-05-07,9109,SUCCESS,HIN2,Hinjewadi,Pune,NEFT,
TXN96778,2025-05-07,8548,SUCCESS,HIN4,Hinjewadi,Pune,DEBIT CARD,
TXN96892,2025-05-07,2549,SUCCESS,HIN5,Hinjewadi,Pune,NEFT,
