TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN44952,2025-05-01,7147,SUCCESS,IND2,Indiranagar,Bangalore,CREDIT CARD,
TXN65990,2025-05-01,6495,FAILED,IND7,Indiranagar,Bangalore,NEFT,Technical Error
TXN28144,2025-05-01,2060,FAILED,IND2,Indiranagar,Bangalore,NEFT,Technical Error
TXN69528,2025-05-01,2254,SUCCESS,IND6,Indiranagar,Bangalore,CREDIT CARD,
TXN88162,2025-05-01,5244,FAILED,IND3,Indiranagar,Bangalore,CASH,Insufficient Funds
TXN68703,2025-05-01,477,SUCCESS,IND6,Indiranagar,Bangalore,DEBIT CARD,
TXN40803,2025-05-01,2010,SUCCESS,IND4,Indiranagar,Bangalore,DEBIT CARD,
TXN85819,2025-05-02,5466,SUCCESS,IND3,Indiranagar,Bangalore,DEBIT CARD,
TXN19297,2025-05-02,8705,SUCCESS,IND9,Indiranagar,Bangalore,CASH,
TXN28345,2025-05-02,3414,FAILED,IND7,Indiranagar,Bangalore,DEBIT CARD,Network Timeout
TXN20098,2025-05-02,2767,SUCCESS,IND1,Indiranagar,Bangalore,DEBIT CARD,
TXN48294,2025-05-02,4936,FAILED,IND5,Indiranagar,Bangalore,NEFT,Exceeded Limit
TXN92660,2025-05-02,3950,SUCCESS,IND9,Indiranagar,Bangalore,NEFT,
TXN49031,2025-05-02,3637,SUCCESS,IND4,Indiranagar,Bangalore,NEFT,
TXN26414,2025-05-03,801,FAILED,IND2,Indiranagar,Bangalore,CREDIT CARD,Network Timeout
TXN13107,2025-05-03,5804,SUCCESS,IND5,Indiranagar,Bangalore,DEBIT CARD,
TXN47508,2025-05-03,1411,FAILED,IND2,Indiranagar,Bangalore,DEBIT CARD,Technical Error
TXN91440,2025-05-03,3955,SUCCESS,IND3,Indiranagar,Bangalore,CREDIT CARD,
TXN45494,2025-05-03,2720,FAILED,IND5,Indiranagar,Bangalore,CREDIT CARD,Technical Error
TXN12298,2025-05-03,1897,FAILED,IND8,Indiranagar,Bangalore,DEBIT CARD,Exceeded Limit
TXN68975,2025-05-03,8202,SUCCESS,IND5,Indiranagar,Bangalore,NEFT,
TXN58357,2025-05-04,9680,SUCCESS,IND3,Indiranagar,Bangalore,DEBIT CARD,
TXN71864,2025-05-04,7331,FAILED,IND6,Indiranagar,Bangalore,CREDIT CARD,Insufficient Funds
TXN90226,2025-05-04,6647,SUCCESS,IND9,Indiranagar,Bangalore,NEFT,
TXN59599,2025-05-04,5677,FAILED,IND1,Indiranagar,Bangalore,CREDIT CARD,Network Timeout
TXN49978,2025-05-04,4515,FAILED,IND6,Indiranagar,Bangalore,DEBIT CARD,Technical Error
TXN39327,2025-05-04,4961,SUCCESS,IND5,Indiranagar,Bangalore,CASH,
TXN51811,2025-05-04,9090,SUCCESS,IND5,Indiranagar,Bangalore,NEFT,
TXN24284,2025-05-05,1567,SUCCESS,IND1,Indiranagar,Bangalore,CREDIT CARD,
TXN21806,2025-05-05,936,SUCCESS,IND8,Indiranagar,Bangalore,CASH,
TXN53576,2025-05-05,2029,SUCCESS,IND9,Indiranagar,Bangalore,NEFT,
TXN92019,2025-05-05,4043,FAILED,IND9,Indiranagar,Bangalore,CASH,Invalid Account Number
TXN77884,2025-05-05,2379,SUCCESS,IND9,Indiranagar,Bangalore,DEBIT CARD,
TXN34160,2025-05-05,8746,SUCCESS,IND5,Indiranagar,Bangalore,CREDIT CARD,
TXN47779,2025-05-05,4004,SUCCESS,IND5,Indiranagar,Bangalore,CASH,
TXN96757,2025-05-06,8631,FAILED,IND3,Indiranagar,Bangalore,CASH,Technical Error
TXN83818,2025-05-06,2279,SUCCESS,IND9,Indiranagar,Bangalore,CREDIT CARD,
TXN67899,2025-05-06,9421,SUCCESS,IND8,Indiranagar,Bangalore,CASH,
TXN36369,2025-05-06,6518,SUCCESS,IND4,Indiranagar,Bangalore,CASH,
TXN84758,2025-05-06,459,SUCCESS,IND2,Indiranagar,Bangalore,NEFT,
TXN84787,2025-05-06,4378,SUCCESS,IND4,Indiranagar,Bangalore,NEFT,
TXN37196,2025-05-06,6000,SUCCESS,IND1,Indiranagar,Bangalore,CREDIT CARD,
TXN95025,2025-05-07,8516,SUCCESS,IND5,Indiranagar,Bangalore,DEBIT CARD,
TXN19374,2025-05-07,1322,SUCCESS,IND8,Indiranagar,Bangalore,CREDIT CARD,
TXN67004,2025-05-07,4899,SUCCESS,IND9,Indiranagar,Bangalore,DEBIT CARD,
TXN73073,2025-05-07,8212,SUCCESS,IND6,Indiranagar,Bangalore,NEFT,
TXN70444,2025-05-07,9222,SUCCESS,IND2,Indiranagar,Bangalore,CASH,
TXN92610,2025-05-07,3966,SUCCESS,IND4,Indiranagar,Bangalore,NEFT,
TXN87266,2025-05-07,2079,SUCCESS,IND5,Indiranagar,Bangalore,DEBIT CARD,
