TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN18225,2025-05-01,6513,SUCCESS,KOR1,Koramangala,Bangalore,DEBIT CARD,
TXN42142,2025-05-01,6921,SUCCESS,KOR5,Koramangala,Bangalore,DEBIT CARD,
TXN99129,2025-05-01,7112,SUCCESS,KOR2,Koramangala,Bangalore,DEBIT CARD,
TXN38473,2025-05-01,4162,FAILED,KOR3,Koramangala,Bangalore,DEBIT CARD,Technical Error
TXN34105,2025-05-01,9731,FAILED,KOR5,Koramangala,Bangalore,NEFT,Invalid Account Number
TXN58840,2025-05-01,5783,FAILED,KOR2,Koramangala,Bangalore,CASH,Exceeded Limit
TXN41484,2025-05-01,3102,SUCCESS,KOR4,Koramangala,Bangalore,CREDIT CARD,
TXN86447,2025-05-02,6525,SUCCESS,KOR4,Koramangala,Bangalore,CASH,
TXN20946,2025-05-02,116,SUCCESS,KOR7,Koramangala,Bangalore,NEFT,
TXN35030,2025-05-02,4931,SUCCESS,KOR6,Koramangala,Bangalore,CREDIT CARD,
TXN70192,2025-05-02,3824,SUCCESS,KOR4,Koramangala,Bangalore,NEFT,
TXN78064,2025-05-02,4719,FAILED,KOR8,Koramangala,Bangalore,DEBIT CARD,Account Blocked
TXN79865,2025-05-02,3249,SUCCESS,KOR2,Koramangala,Bangalore,DEBIT CARD,
TXN88021,2025-05-02,3978,FAILED,KOR2,Koramangala,Bangalore,CASH,Invalid Account Number
TXN69303,2025-05-03,8536,SUCCESS,KOR4,Koramangala,Bangalore,CREDIT CARD,
TXN49594,2025-05-03,3042,SUCCESS,KOR5,Koramangala,Bangalore,CASH,
TXN39362,2025-05-03,8839,SUCCESS,KOR6,Koramangala,Bangalore,NEFT,
TXN29424,2025-05-03,3402,SUCCESS,KOR1,Koramangala,Bangalore,DEBIT CARD,
TXN83524,2025-05-03,7056,SUCCESS,KOR3,Koramangala,Bangalore,CREDIT CARD,
TXN68254,2025-05-03,8497,SUCCESS,KOR2,Koramangala,Bangalore,NEFT,
TXN67984,2025-05-03,5099,SUCCESS,KOR1,Koramangala,Bangalore,CREDIT CARD,
TXN77129,2025-05-04,1263,FAILED,KOR4,Koramangala,Bangalore,NEFT,Exceeded Limit
TXN62153,2025-05-04,1762,FAILED,KOR4,Koramangala,Bangalore,CREDIT CARD,Network Timeout
TXN24819,2025-05-04,9066,FAILED,KOR6,Koramangala,Bangalore,CREDIT CARD,Invalid Account Number
TXN12680,2025-05-04,7368,SUCCESS,KOR9,Koramangala,Bangalore,CASH,
TXN52471,2025-05-04,4731,SUCCESS,KOR6,Koramangala,Bangalore,DEBIT CARD,
TXN59159,2025-05-04,7420,SUCCESS,KOR2,Koramangala,Bangalore,NEFT,
TXN51055,2025-05-04,4853,SUCCESS,KOR3,Koramangala,Bangalore,CASH,
TXN67539,2025-05-05,585,SUCCESS,KOR7,Koramangala,Bangalore,DEBIT CARD,
TXN74204,2025-05-05,7053,SUCCESS,KOR2,Koramangala,Bangalore,CREDIT CARD,
TXN33839,2025-05-05,5477,SUCCESS,KOR1,Koramangala,Bangalore,NEFT,
TXN31555,2025-05-05,4735,SUCCESS,KOR6,Koramangala,Bangalore,CREDIT CARD,
TXN33718,2025-05-05,6707,SUCCESS,KOR5,Koramangala,Bangalore,NEFT,
TXN85750,2025-05-05,3152,SUCCESS,KOR2,Koramangala,Bangalore,DEBIT CARD,
TXN90532,2025-05-05,1805,SUCCESS,KOR9,Koramangala,Bangalore,CREDIT CARD,
TXN97072,2025-05-06,5784,SUCCESS,KOR8,Koramangala,Bangalore,DEBIT CARD,
TXN38986,2025-05-06,1428,SUCCESS,KOR4,Koramangala,Bangalore,DEBIT CARD,
TXN78680,2025-05-06,3768,SUCCESS,KOR2,Koramangala,Bangalore,CASH,
TXN22165,2025-05-06,3167,SUCCESS,KOR5,Koramangala,Bangalore,DEBIT CARD,
TXN71918,2025-05-06,7453,SUCCESS,KOR7,Koramangala,Bangalore,NEFT,
TXN89741,2025-05-06,7621,FAILED,KOR8,Koramangala,Bangalore,CASH,Insufficient Funds
TXN23423,2025-05-06,5129,SUCCESS,KOR1,Koramangala,Bangalore,DEBIT CARD,
TXN89635,2025-05-07,5421,FAILED,KOR4,Koramangala,Bangalore,CREDIT CARD,Invalid Account Number
TXN24017,2025-05-07,7637,SUCCESS,KOR2,Koramangala,Bangalore,DEBIT CARD,
TXN44371,2025-05-07,4168,SUCCESS,KOR9,Koramangala,Bangalore,CASH,
TXN24089,2025-05-07,3839,SUCCESS,KOR3,Koramangala,Bangalore,CASH,
TXN38292,2025-05-07,9776,SUCCESS,KOR4,Koramangala,Bangalore,NEFT,
TXN96931,2025-05-07,4786,FAILED,KOR1,Koramangala,Bangalore,NEFT,Network Timeout
TXN73253,2025-05-07,8789,FAILED,KOR7,Koramangala,Bangalore,CREDIT CARD,Technical Error
