TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN69938,2025-05-01,6072,SUCCESS,KOT6,Kothrud,Pune,CASH,
TXN23937,2025-05-01,6444,SUCCESS,KOT9,Kothrud,Pune,CREDIT CARD,
TXN34905,2025-05-01,3298,FAILED,KOT7,Kothrud,Pune,CASH,Technical Error
TXN91743,2025-05-01,8605,SUCCESS,KOT8,Kothrud,Pune,CASH,
TXN77409,2025-05-01,5989,SUCCESS,KOT6,Kothrud,Pune,CASH,
TXN50753,2025-05-01,1780,SUCCESS,KOT9,Kothrud,Pune,CREDIT CARD,
TXN44991,2025-05-01,1832,FAILED,KOT1,Kothrud,Pune,NEFT,Network Timeout
TXN81722,2025-05-02,3870,SUCCESS,KOT3,Kothrud,Pune,DEBIT CARD,
TXN53857,2025-05-02,7961,SUCCESS,KOT6,Kothrud,Pune,CREDIT CARD,
TXN71139,2025-05-02,247,SUCCESS,KOT8,Kothrud,Pune,DEBIT CARD,
TXN69550,2025-05-02,7924,FAILED,KOT4,Kothrud,Pune,CREDIT CARD,Insufficient Funds
TXN13507,2025-05-02,5068,SUCCESS,KOT1,Kothrud,Pune,DEBIT CARD,
TXN53291,2025-05-02,3623,SUCCESS,KOT6,Kothrud,Pune,CASH,
TXN92678,2025-05-02,6552,SUCCESS,KOT8,Kothrud,Pune,CASH,
TXN65959,2025-05-03,3232,SUCCESS,KOT8,Kothrud,Pune,CREDIT CARD,
TXN66134,2025-05-03,7709,FAILED,KOT2,Kothrud,Pune,NEFT,Insufficient Funds
TXN52316,2025-05-03,4890,SUCCESS,KOT5,Kothrud,Pune,NEFT,
TXN23763,2025-05-03,8184,SUCCESS,KOT1,Kothrud,Pune,CREDIT CARD,
TXN80672,2025-05-03,2753,SUCCESS,KOT6,Kothrud,Pune,CREDIT CARD,
TXN23228,2025-05-03,793,SUCCESS,KOT3,Kothrud,Pune,CASH,
TXN83901,2025-05-03,5953,SUCCESS,KOT7,Kothrud,Pune,CREDIT CARD,
TXN20948,2025-05-04,4789,FAILED,KOT5,Kothrud,Pune,CREDIT CARD,Account Blocked
TXN44739,2025-05-04,9583,SUCCESS,KOT1,Kothrud,Pune,CREDIT CARD,
TXN84630,2025-05-04,3206,FAILED,KOT2,Kothrud,Pune,DEBIT CARD,Invalid Account Number
TXN57039,2025-05-04,9256,FAILED,KOT4,Kothrud,Pune,CREDIT CARD,Insufficient Funds
TXN77063,2025-05-04,9301,SUCCESS,KOT7,Kothrud,Pune,CREDIT CARD,
TXN36057,2025-05-04,8937,SUCCESS,KOT5,Kothrud,Pune,NEFT,
TXN53449,2025-05-04,8257,SUCCESS,KOT8,Kothrud,Pune,CASH,
TXN23225,2025-05-05,7635,FAILED,KOT6,Kothrud,Pune,CASH,Exceeded Limit
TXN36131,2025-05-05,7698,SUCCESS,KOT4,Kothrud,Pune,CASH,
TXN19602,2025-05-05,3873,SUCCESS,KOT3,Kothrud,Pune,NEFT,
TXN62801,2025-05-05,7647,SUCCESS,KOT2,Kothrud,Pune,CASH,
TXN95993,2025-05-05,1675,FAILED,KOT1,Kothrud,Pune,DEBIT CARD,Exceeded Limit
TXN84343,2025-05-05,3922,SUCCESS,KOT4,Kothrud,Pune,CASH,
TXN20007,2025-05-05,5133,FAILED,KOT6,Kothrud,Pune,CASH,Exceeded Limit
TXN21424,2025-05-06,4926,SUCCESS,KOT5,Kothrud,Pune,CREDIT CARD,
TXN84561,2025-05-06,4818,SUCCESS,KOT9,Kothrud,Pune,DEBIT CARD,
TXN70496,2025-05-06,7508,SUCCESS,KOT4,Kothrud,Pune,CREDIT CARD,
TXN50301,2025-05-06,8967,SUCCESS,KOT7,Kothrud,Pune,NEFT,
TXN12300,2025-05-06,6297,SUCCESS,KOT9,Kothrud,Pune,CREDIT CARD,
TXN18096,2025-05-06,1935,SUCCESS,KOT3,Kothrud,Pune,CASH,
TXN18803,2025-05-06,8944,SUCCESS,KOT5,Kothrud,Pune,DEBIT CARD,
TXN43317,2025-05-07,8537,FAILED,KOT6,Kothrud,Pune,DEBIT CARD,Exceeded Limit
TXN17615,2025-05-07,9353,SUCCESS,KOT9,Kothrud,Pune,DEBIT CARD,
TXN39041,2025-05-07,5266,SUCCESS,KOT6,Kothrud,Pune,CREDIT CARD,
TXN87524,2025-05-07,1256,FAILED,KOT9,Kothrud,Pune,CASH,Invalid Account Number
TXN87552,2025-05-07,8671,FAILED,KOT2,Kothrud,Pune,CREDIT CARD,Invalid Account Number
TXN51984,2025-05-07,5905,SUCCESS,KOT4,Kothrud,Pune,NEFT,
TXN31753,2025-05-07,1094,FAILED,KOT6,Kothrud,Pune,CASH,Network Timeout
