TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN17152,2025-05-01,2402,FAILED,MG 2,MG Road,Bangalore,NEFT,Insufficient Funds
TXN78029,2025-05-01,8417,FAILED,MG 9,MG Road,Bangalore,CASH,Network Timeout
TXN87024,2025-05-01,6558,SUCCESS,MG 8,MG Road,Bangalore,CREDIT CARD,
TXN42793,2025-05-01,8468,SUCCESS,MG 7,MG Road,Bangalore,DEBIT CARD,
TXN96937,2025-05-01,894,SUCCESS,MG 1,MG Road,Bangalore,NEFT,
TXN23467,2025-05-01,5683,FAILED,MG 2,MG Road,Bangalore,CREDIT CARD,Network Timeout
TXN86131,2025-05-01,4199,SUCCESS,MG 5,MG Road,Bangalore,CREDIT CARD,
TXN21236,2025-05-02,1451,SUCCESS,MG 1,MG Road,Bangalore,DEBIT CARD,
TXN18104,2025-05-02,9927,SUCCESS,MG 6,MG Road,Bangalore,CREDIT CARD,
TXN39227,2025-05-02,6714,SUCCESS,MG 9,MG Road,Bangalore,CREDIT CARD,
TXN90186,2025-05-02,8960,SUCCESS,MG 6,MG Road,Bangalore,CREDIT CARD,
TXN23726,2025-05-02,5523,FAILED,MG 6,MG Road,Bangalore,CREDIT CARD,Insufficient Funds
TXN72774,2025-05-02,7158,FAILED,MG 5,MG Road,Bangalore,CASH,Invalid Account Number
TXN44004,2025-05-02,3634,FAILED,MG 7,MG Road,Bangalore,CREDIT CARD,Invalid Account Number
TXN32728,2025-05-03,529,SUCCESS,MG 6,MG Road,Bangalore,CASH,
TXN30117,2025-05-03,6540,SUCCESS,MG 1,MG Road,Bangalore,DEBIT CARD,
TXN79544,2025-05-03,3771,SUCCESS,MG 9,MG Road,Bangalore,CREDIT CARD,
TXN83979,2025-05-03,546,SUCCESS,MG 7,MG Road,Bangalore,NEFT,
TXN71011,2025-05-03,7774,SUCCESS,MG 4,MG Road,Bangalore,NEFT,
TXN84459,2025-05-03,6025,SUCCESS,MG 2,MG Road,Bangalore,NEFT,
TXN95120,2025-05-03,3427,SUCCESS,MG 6,MG Road,Bangalore,DEBIT CARD,
TXN58855,2025-05-04,9199,SUCCESS,MG 9,MG Road,Bangalore,DEBIT CARD,
TXN96354,2025-05-04,5781,SUCCESS,MG 7,MG Road,Bangalore,DEBIT CARD,
TXN86454,2025-05-04,4727,SUCCESS,MG 3,MG Road,Bangalore,NEFT,
TXN10231,2025-05-04,7591,SUCCESS,MG 5,MG Road,Bangalore,CREDIT CARD,
TXN48700,2025-05-04,7855,SUCCESS,MG 6,MG Road,Bangalore,CREDIT CARD,
TXN97223,2025-05-04,7172,SUCCESS,MG 7,MG Road,Bangalore,NEFT,
TXN45521,2025-05-04,2062,FAILED,MG 2,MG Road,Bangalore,CREDIT CARD,Invalid Account Number
TXN64791,2025-05-05,4023,FAILED,MG 3,MG Road,Bangalore,CREDIT CARD,Invalid Account Number
TXN29540,2025-05-05,2712,SUCCESS,MG 2,MG Road,Bangalore,CASH,
TXN33840,2025-05-05,6092,SUCCESS,MG 5,MG Road,Bangalore,DEBIT CARD,
TXN30384,2025-05-05,5977,SUCCESS,MG 8,MG Road,Bangalore,CASH,
TXN49179,2025-05-05,3237,SUCCESS,MG 4,MG Road,Bangalore,CREDIT CARD,
TXN27803,2025-05-05,8225,SUCCESS,MG 9,MG Road,Bangalore,DEBIT CARD,
TXN14377,2025-05-05,7250,SUCCESS,MG 8,MG Road,Bangalore,NEFT,
TXN11000,2025-05-06,1229,SUCCESS,MG 7,MG Road,Bangalore,CREDIT CARD,
TXN72917,2025-05-06,1170,SUCCESS,MG 2,MG Road,Bangalore,NEFT,
TXN26981,2025-05-06,5684,FAILED,MG 8,MG Road,Bangalore,CASH,Technical Error
TXN99398,2025-05-06,708,SUCCESS,MG 1,MG Road,Bangalore,CASH,
TXN99987,2025-05-06,7088,FAILED,MG 4,MG Road,Bangalore,DEBIT CARD,Account Blocked
TXN62499,2025-05-06,630,SUCCESS,MG 3,MG Road,Bangalore,DEBIT CARD,
TXN57083,2025-05-06,7160,FAILED,MG 5,MG Road,Bangalore,DEBIT CARD,Insufficient Funds
TXN38488,2025-05-07,9794,FAILED,MG 4,MG Road,Bangalore,CREDIT CARD,Technical Error
TXN28573,2025-05-07,8550,SUCCESS,MG 5,MG Road,Bangalore,CASH,
TXN33834,2025-05-07,5298,SUCCESS,MG 6,MG Road,Bangalore,CASH,
TXN54540,2025-05-07,8473,SUCCESS,MG 8,MG Road,Bangalore,NEFT,
TXN74945,2025-05-07,1478,SUCCESS,MG 5,MG Road,Bangalore,DEBIT CARD,
TXN54753,2025-05-07,4263,SUCCESS,MG 9,MG Road,Bangalore,CREDIT CARD,
TXN79143,2025-05-07,6825,SUCCESS,MG 9,MG Road,Bangalore,DEBIT CARD,
