TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN53834,2025-05-01,7163,SUCCESS,SHI6,Shivaji Nagar,Pune,CASH,
TXN15502,2025-05-01,8841,SUCCESS,SHI7,Shivaji Nagar,Pune,NEFT,
TXN91434,2025-05-01,8293,FAILED,SHI7,Shivaji Nagar,Pune,CASH,Invalid Account Number
TXN40509,2025-05-01,5168,SUCCESS,SHI2,Shivaji Nagar,Pune,DEBIT CARD,
TXN79403,2025-05-01,3457,SUCCESS,SHI4,Shivaji Nagar,Pune,DEBIT CARD,
TXN65344,2025-05-01,4063,SUCCESS,SHI4,Shivaji Nagar,Pune,DEBIT CARD,
TXN93422,2025-05-01,7917,FAILED,SHI2,Shivaji Nagar,Pune,NEFT,Network Timeout
TXN29385,2025-05-02,2417,FAILED,SHI4,Shivaji Nagar,Pune,DEBIT CARD,Network Timeout
TXN71584,2025-05-02,1110,SUCCESS,SHI1,Shivaji Nagar,Pune,CASH,
TXN68876,2025-05-02,3777,SUCCESS,SHI1,Shivaji Nagar,Pune,CASH,
TXN55848,2025-05-02,5384,SUCCESS,SHI5,Shivaji Nagar,Pune,DEBIT CARD,
TXN36476,2025-05-02,800,SUCCESS,SHI5,Shivaji Nagar,Pune,CASH,
TXN90856,2025-05-02,2957,SUCCESS,SHI8,Shivaji Nagar,Pune,NEFT,
TXN44545,2025-05-02,1536,SUCCESS,SHI3,Shivaji Nagar,Pune,DEBIT CARD,
TXN78930,2025-05-03,7341,SUCCESS,SHI5,Shivaji Nagar,Pune,CREDIT CARD,
TXN74028,2025-05-03,719,SUCCESS,SHI5,Shivaji Nagar,Pune,CASH,
TXN41135,2025-05-03,1049,SUCCESS,SHI7,Shivaji Nagar,Pune,CREDIT CARD,
TXN51908,2025-05-03,3910,SUCCESS,SHI9,Shivaji Nagar,Pune,CASH,
TXN17247,2025-05-03,3034,SUCCESS,SHI2,Shivaji Nagar,Pune,CASH,
TXN15220,2025-05-03,7167,FAILED,SHI9,Shivaji Nagar,Pune,CASH,Insufficient Funds
TXN24759,2025-05-03,4086,SUCCESS,SHI1,Shivaji Nagar,Pune,DEBIT CARD,
TXN54544,2025-05-04,2850,SUCCESS,SHI3,Shivaji Nagar,Pune,CASH,
TXN42134,2025-05-04,7126,SUCCESS,SHI4,Shivaji Nagar,Pune,NEFT,
TXN34550,2025-05-04,571,SUCCESS,SHI7,Shivaji Nagar,Pune,CREDIT CARD,
TXN96940,2025-05-04,5933,SUCCESS,SHI5,Shivaji Nagar,Pune,CREDIT CARD,
TXN98450,2025-05-04,4035,SUCCESS,SHI6,Shivaji Nagar,Pune,NEFT,
TXN85599,2025-05-04,5833,SUCCESS,SHI4,Shivaji Nagar,Pune,CASH,
TXN48035,2025-05-04,3945,SUCCESS,SHI4,Shivaji Nagar,Pune,NEFT,
TXN92694,2025-05-05,4615,SUCCESS,SHI5,Shivaji Nagar,Pune,DEBIT CARD,
TXN61643,2025-05-05,6291,FAILED,SHI7,Shivaji Nagar,Pune,NEFT,Technical Error
TXN68039,2025-05-05,4573,FAILED,SHI3,Shivaji Nagar,Pune,CREDIT CARD,Invalid Account Number
TXN22606,2025-05-05,5351,SUCCESS,SHI8,Shivaji Nagar,Pune,CASH,
TXN58395,2025-05-05,6626,FAILED,SHI4,Shivaji Nagar,Pune,CASH,Exceeded Limit
TXN98915,2025-05-05,5080,SUCCESS,SHI3,Shivaji Nagar,Pune,NEFT,
TXN77778,2025-05-05,9470,SUCCESS,SHI4,Shivaji Nagar,Pune,CREDIT CARD,
TXN76246,2025-05-06,2623,SUCCESS,SHI8,Shivaji Nagar,Pune,CREDIT CARD,
TXN67817,2025-05-06,7063,SUCCESS,SHI8,Shivaji Nagar,Pune,CASH,
TXN62411,2025-05-06,7259,FAILED,SHI6,Shivaji Nagar,Pune,NEFT,Invalid Account Number
TXN28997,2025-05-06,3861,SUCCESS,SHI2,Shivaji Nagar,Pune,CASH,
TXN65277,2025-05-06,7931,SUCCESS,SHI7,Shivaji Nagar,Pune,CREDIT CARD,
TXN40118,2025-05-06,2297,SUCCESS,SHI2,Shivaji Nagar,Pune,NEFT,
TXN28747,2025-05-06,1046,SUCCESS,SHI6,Shivaji Nagar,Pune,NEFT,
TXN92087,2025-05-07,3162,FAILED,SHI6,Shivaji Nagar,Pune,NEFT,Insufficient Funds
TXN54367,2025-05-07,4192,SUCCESS,SHI8,Shivaji Nagar,Pune,CREDIT CARD,
TXN11094,2025-05-07,4548,SUCCESS,SHI1,Shivaji Nagar,Pune,CREDIT CARD,
TXN87040,2025-05-07,9070,SUCCESS,SHI2,Shivaji Nagar,Pune,DEBIT CARD,
TXN99593,2025-05-07,8410,FAILED,SHI6,Shivaji Nagar,Pune,CASH,Network Timeout
TXN39840,2025-05-07,1551,SUCCESS,SHI4,Shivaji Nagar,Pune,CASH,
TXN43771,2025-05-07,9668,FAILED,SHI7,Shivaji Nagar,Pune,CREDIT CARD,Technical Error
