TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN21893,2025-05-01,7569,SUCCESS,T N1,T Nagar,Chennai,CREDIT CARD,
TXN42466,2025-05-01,225,SUCCESS,T N5,T Nagar,Chennai,DEBIT CARD,
TXN18864,2025-05-01,3280,FAILED,T N8,T Nagar,Chennai,CASH,Network Timeout
TXN79136,2025-05-01,7255,FAILED,T N7,T Nagar,Chennai,CASH,Insufficient Funds
TXN36679,2025-05-01,3642,FAILED,T N9,T Nagar,Chennai,CASH,Invalid Account Number
TXN98970,2025-05-01,7224,SUCCESS,T N9,T Nagar,Chennai,DEBIT CARD,
TXN42314,2025-05-01,6419,SUCCESS,T N9,T Nagar,Chennai,NEFT,
TXN74151,2025-05-02,1378,SUCCESS,T N6,T Nagar,Chennai,DEBIT CARD,
TXN89807,2025-05-02,6377,SUCCESS,T N4,T Nagar,Chennai,NEFT,
TXN22817,2025-05-02,7535,SUCCESS,T N7,T Nagar,Chennai,DEBIT CARD,
TXN64029,2025-05-02,1357,FAILED,T N2,T Nagar,Chennai,CASH,Account Blocked
TXN68107,2025-05-02,980,SUCCESS,T N8,T Nagar,Chennai,DEBIT CARD,
TXN51475,2025-05-02,4552,SUCCESS,T N4,T Nagar,Chennai,NEFT,
TXN26930,2025-05-02,1899,SUCCESS,T N4,T Nagar,Chennai,CREDIT CARD,
TXN14966,2025-05-03,2036,FAILED,T N2,T Nagar,Chennai,DEBIT CARD,Account Blocked
TXN21433,2025-05-03,1147,SUCCESS,T N6,T Nagar,Chennai,NEFT,
TXN59259,2025-05-03,5315,SUCCESS,T N5,T Nagar,Chennai,DEBIT CARD,
TXN52793,2025-05-03,2647,SUCCESS,T N4,T Nagar,Chennai,DEBIT CARD,
TXN41948,2025-05-03,3656,FAILED,T N8,T Nagar,Chennai,CREDIT CARD,Exceeded Limit
TXN77975,2025-05-03,829,SUCCESS,T N8,T Nagar,Chennai,CASH,
TXN66639,2025-05-03,5675,SUCCESS,T N5,T Nagar,Chennai,DEBIT CARD,
TXN17874,2025-05-04,6878,SUCCESS,T N5,T Nagar,Chennai,DEBIT CARD,
TXN17573,2025-05-04,2845,SUCCESS,T N4,T Nagar,Chennai,CREDIT CARD,
TXN55869,2025-05-04,6616,SUCCESS,T N5,T Nagar,Chennai,NEFT,
TXN44553,2025-05-04,242,SUCCESS,T N2,T Nagar,Chennai,NEFT,
TXN81473,2025-05-04,7478,FAILED,T N6,T Nagar,Chennai,DEBIT CARD,Exceeded Limit
TXN75764,2025-05-04,4804,SUCCESS,T N2,T Nagar,Chennai,NEFT,
TXN58425,2025-05-04,1039,SUCCESS,T N5,T Nagar,Chennai,DEBIT CARD,
TXN63422,2025-05-05,2894,FAILED,T N5,T Nagar,Chennai,DEBIT CARD,Network Timeout
TXN30469,2025-05-05,627,FAILED,T N8,T Nagar,Chennai,DEBIT CARD,Exceeded Limit
TXN93030,2025-05-05,8626,SUCCESS,T N3,T Nagar,Chennai,DEBIT CARD,
TXN11843,2025-05-05,4403,FAILED,T N9,T Nagar,Chennai,CASH,Exceeded Limit
TXN56274,2025-05-05,8546,FAILED,T N2,T Nagar,Chennai,CREDIT CARD,Insufficient Funds
TXN71209,2025-05-05,213,SUCCESS,T N2,T Nagar,Chennai,NEFT,
TXN60822,2025-05-05,8552,SUCCESS,T N2,T Nagar,Chennai,CREDIT CARD,
TXN78999,2025-05-06,5129,SUCCESS,T N4,T Nagar,Chennai,DEBIT CARD,
TXN91855,2025-05-06,8683,FAILED,T N7,T Nagar,Chennai,DEBIT CARD,Exceeded Limit
TXN83648,2025-05-06,667,FAILED,T N1,T Nagar,Chennai,NEFT,Insufficient Funds
TXN23196,2025-05-06,6794,SUCCESS,T N1,T Nagar,Chennai,DEBIT CARD,
TXN81644,2025-05-06,7335,FAILED,T N7,T Nagar,Chennai,DEBIT CARD,Insufficient Funds
TXN90303,2025-05-06,1339,SUCCESS,T N6,T Nagar,Chennai,DEBIT CARD,
TXN63865,2025-05-06,3876,SUCCESS,T N9,T Nagar,Chennai,CREDIT CARD,
TXN16844,2025-05-07,9321,FAILED,T N3,T Nagar,Chennai,CREDIT CARD,Account Blocked
TXN11325,2025-05-07,9178,SUCCESS,T N9,T Nagar,Chennai,DEBIT CARD,
TXN33331,2025-05-07,9797,FAILED,T N4,T Nagar,Chennai,NEFT,Exceeded Limit
TXN83641,2025-05-07,5428,SUCCESS,T N1,T Nagar,Chennai,CASH,
TXN61441,2025-05-07,3012,SUCCESS,T N5,T Nagar,Chennai,DEBIT CARD,
TXN18362,2025-05-07,8553,FAILED,T N4,T Nagar,Chennai,CASH,Technical Error
TXN73092,2025-05-07,8451,SUCCESS,T N9,T Nagar,Chennai,DEBIT CARD,
