TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN76258,2025-05-01,4230,FAILED,TAM2,Tambaram,Chennai,CREDIT CARD,Account Blocked
TXN90157,2025-05-01,2913,SUCCESS,TAM4,Tambaram,Chennai,NEFT,
TXN41265,2025-05-01,4793,SUCCESS,TAM1,Tambaram,Chennai,DEBIT CARD,
TXN71109,2025-05-01,473,FAILED,TAM9,Tambaram,Chennai,CASH,Exceeded Limit
TXN63509,2025-05-01,7759,SUCCESS,TAM5,Tambaram,Chennai,CASH,
TXN74071,2025-05-01,7181,SUCCESS,TAM8,Tambaram,Chennai,CREDIT CARD,
TXN85104,2025-05-01,4948,SUCCESS,TAM9,Tambaram,Chennai,CASH,
TXN46058,2025-05-02,1446,FAILED,TAM3,Tambaram,Chennai,NEFT,Invalid Account Number
TXN12329,2025-05-02,5556,SUCCESS,TAM8,Tambaram,Chennai,CASH,
TXN45269,2025-05-02,4719,SUCCESS,TAM4,Tambaram,Chennai,DEBIT CARD,
TXN90411,2025-05-02,3294,FAILED,TAM8,Tambaram,Chennai,CREDIT CARD,Account Blocked
TXN72449,2025-05-02,5083,FAILED,TAM1,Tambaram,Chennai,CASH,Technical Error
TXN48739,2025-05-02,2159,SUCCESS,TAM9,Tambaram,Chennai,NEFT,
TXN78151,2025-05-02,6837,SUCCESS,TAM9,Tambaram,Chennai,CASH,
TXN60411,2025-05-03,4646,FAILED,TAM7,Tambaram,Chennai,NEFT,Technical Error
TXN39879,2025-05-03,9346,SUCCESS,TAM4,Tambaram,Chennai,CASH,
TXN77448,2025-05-03,6920,SUCCESS,TAM5,Tambaram,Chennai,CREDIT CARD,
TXN41182,2025-05-03,131,SUCCESS,TAM6,Tambaram,Chennai,CASH,
TXN31061,2025-05-03,1914,SUCCESS,TAM9,Tambaram,Chennai,CASH,
TXN46054,2025-05-03,6549,FAILED,TAM4,Tambaram,Chennai,CREDIT CARD,Technical Error
TXN22858,2025-05-03,9455,SUCCESS,TAM8,Tambaram,Chennai,NEFT,
TXN33410,2025-05-04,2040,FAILED,TAM1,Tambaram,Chennai,NEFT,Invalid Account Number
TXN32467,2025-05-04,4778,SUCCESS,TAM9,Tambaram,Chennai,CREDIT CARD,
TXN75953,2025-05-04,2373,FAILED,TAM4,Tambaram,Chennai,NEFT,Technical Error
TXN40409,2025-05-04,7613,SUCCESS,TAM6,Tambaram,Chennai,CREDIT CARD,
TXN12434,2025-05-04,6906,FAILED,TAM4,Tambaram,Chennai,CREDIT CARD,Invalid Account Number
TXN90862,2025-05-04,5595,SUCCESS,TAM2,Tambaram,Chennai,CREDIT CARD,
TXN61980,2025-05-04,4641,SUCCESS,TAM7,Tambaram,Chennai,CASH,
TXN78747,2025-05-05,2641,SUCCESS,TAM8,Tambaram,Chennai,CASH,
TXN64962,2025-05-05,2466,SUCCESS,TAM9,Tambaram,Chennai,CREDIT CARD,
TXN61273,2025-05-05,2718,SUCCESS,TAM1,Tambaram,Chennai,DEBIT CARD,
TXN61258,2025-05-05,7174,FAILED,TAM1,Tambaram,Chennai,CASH,Invalid Account Number
TXN70452,2025-05-05,8642,SUCCESS,TAM1,Tambaram,Chennai,NEFT,
TXN25359,2025-05-05,8531,FAILED,TAM6,Tambaram,Chennai,NEFT,Insufficient Funds
TXN73006,2025-05-05,1453,SUCCESS,TAM2,Tambaram,Chennai,DEBIT CARD,
TXN68105,2025-05-06,1096,FAILED,TAM7,Tambaram,Chennai,CASH,Account Blocked
TXN86358,2025-05-06,8143,FAILED,TAM6,Tambaram,Chennai,CASH,Exceeded Limit
TXN80251,2025-05-06,7381,FAILED,TAM1,Tambaram,Chennai,CREDIT CARD,Technical Error
TXN66317,2025-05-06,8500,FAILED,TAM5,Tambaram,Chennai,CASH,Invalid Account Number
TXN63961,2025-05-06,3170,SUCCESS,TAM8,Tambaram,Chennai,CASH,
TXN92731,2025-05-06,8562,SUCCESS,TAM4,Tambaram,Chennai,DEBIT CARD,
TXN84646,2025-05-06,6764,FAILED,TAM7,Tambaram,Chennai,NEFT,Insufficient Funds
TXN44941,2025-05-07,5240,SUCCESS,TAM3,Tambaram,Chennai,CASH,
TXN90829,2025-05-07,9662,SUCCESS,TAM5,Tambaram,Chennai,CREDIT CARD,
TXN10582,2025-05-07,2860,SUCCESS,TAM9,Tambaram,Chennai,DEBIT CARD,
TXN17057,2025-05-07,9495,SUCCESS,TAM4,Tambaram,Chennai,DEBIT CARD,
TXN96900,2025-05-07,3860,SUCCESS,TAM4,Tambaram,Chennai,CASH,
TXN83905,2025-05-07,269,SUCCESS,TAM2,Tambaram,Chennai,CASH,
TXN54057,2025-05-07,2568,FAILED,TAM1,Tambaram,Chennai,DEBIT CARD,Invalid Account Number
