TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN85164,2025-05-01,7499,SUCCESS,VEL4,Velachery,Chennai,CREDIT CARD,
TXN90539,2025-05-01,9894,SUCCESS,VEL6,Velachery,Chennai,NEFT,
TXN40139,2025-05-01,1832,FAILED,VEL1,Velachery,Chennai,NEFT,Insufficient Funds
TXN20603,2025-05-01,3528,FAILED,VEL1,Velachery,Chennai,DEBIT CARD,Technical Error
TXN21329,2025-05-01,2479,FAILED,VEL8,Velachery,Chennai,NEFT,Technical Error
TXN15326,2025-05-01,3067,FAILED,VEL7,Velachery,Chennai,DEBIT CARD,Invalid Account Number
TXN70251,2025-05-01,3716,FAILED,VEL5,Velachery,Chennai,NEFT,Account Blocked
TXN33626,2025-05-02,5084,SUCCESS,VEL8,Velachery,Chennai,CREDIT CARD,
TXN33427,2025-05-02,2335,SUCCESS,VEL1,Velachery,Chennai,NEFT,
TXN67884,2025-05-02,264,SUCCESS,VEL4,Velachery,Chennai,DEBIT CARD,
TXN10474,2025-05-02,3125,SUCCESS,VEL1,Velachery,Chennai,DEBIT CARD,
TXN48534,2025-05-02,5298,SUCCESS,VEL5,Velachery,Chennai,NEFT,
TXN72271,2025-05-02,914,FAILED,VEL8,Velachery,Chennai,CASH,Account Blocked
TXN43869,2025-05-02,6006,SUCCESS,VEL8,Velachery,Chennai,NEFT,
TXN75907,2025-05-03,6703,SUCCESS,VEL8,Velachery,Chennai,CREDIT CARD,
TXN52562,2025-05-03,7172,SUCCESS,VEL1,Velachery,Chennai,NEFT,
TXN72824,2025-05-03,6497,SUCCESS,VEL5,Velachery,Chennai,CASH,
TXN45711,2025-05-03,4364,FAILED,VEL6,Velachery,Chennai,CASH,Exceeded Limit
TXN85959,2025-05-03,7115,FAILED,VEL2,Velachery,Chennai,CASH,Account Blocked
TXN84695,2025-05-03,5575,SUCCESS,VEL4,Velachery,Chennai,CASH,
TXN52331,2025-05-03,3877,SUCCESS,VEL6,Velachery,Chennai,CASH,
TXN22045,2025-05-04,9736,SUCCESS,VEL7,Velachery,Chennai,CREDIT CARD,
TXN27209,2025-05-04,2753,FAILED,VEL6,Velachery,Chennai,CREDIT CARD,Account Blocked
TXN16499,2025-05-04,4772,FAILED,VEL8,Velachery,Chennai,DEBIT CARD,Insufficient Funds
TXN10797,2025-05-04,3046,FAILED,VEL1,Velachery,Chennai,DEBIT CARD,Network Timeout
TXN73577,2025-05-04,3939,SUCCESS,VEL9,Velachery,Chennai,CREDIT CARD,
TXN19842,2025-05-04,8962,SUCCESS,VEL6,Velachery,Chennai,NEFT,
TXN56693,2025-05-04,1218,FAILED,VEL7,Velachery,Chennai,DEBIT CARD,Network Timeout
TXN60140,2025-05-05,7262,SUCCESS,VEL6,Velachery,Chennai,DEBIT CARD,
TXN84855,2025-05-05,7148,FAILED,VEL9,Velachery,Chennai,CREDIT CARD,Account Blocked
TXN10019,2025-05-05,9147,SUCCESS,VEL9,Velachery,Chennai,NEFT,
TXN27382,2025-05-05,6243,SUCCESS,VEL9,Velachery,Chennai,NEFT,
TXN25455,2025-05-05,7686,SUCCESS,VEL3,Velachery,Chennai,CASH,
TXN52847,2025-05-05,8171,SUCCESS,VEL1,Velachery,Chennai,NEFT,
TXN91439,2025-05-05,7247,SUCCESS,VEL9,Velachery,Chennai,NEFT,
TXN82327,2025-05-06,1352,FAILED,VEL4,Velachery,Chennai,NEFT,Network Timeout
TXN38035,2025-05-06,8262,SUCCESS,VEL1,Velachery,Chennai,DEBIT CARD,
TXN84944,2025-05-06,7245,SUCCESS,VEL2,Velachery,Chennai,CASH,
TXN71074,2025-05-06,5915,SUCCESS,VEL8,Velachery,Chennai,CASH,
TXN79336,2025-05-06,9365,SUCCESS,VEL8,Velachery,Chennai,CASH,
TXN86752,2025-05-06,1616,SUCCESS,VEL3,Velachery,Chennai,NEFT,
TXN49854,2025-05-06,4990,SUCCESS,VEL6,Velachery,Chennai,NEFT,
TXN39169,2025-05-07,5824,SUCCESS,VEL9,Velachery,Chennai,NEFT,
TXN16327,2025-05-07,6371,SUCCESS,VEL5,Velachery,Chennai,CASH,
TXN70481,2025-05-07,9822,SUCCESS,VEL8,Velachery,Chennai,DEBIT CARD,
TXN83996,2025-05-07,9472,FAILED,VEL4,Velachery,Chennai,NEFT,Invalid Account Number
TXN84919,2025-05-07,5030,SUCCESS,VEL8,Velachery,Chennai,DEBIT CARD,
TXN19488,2025-05-07,8301,FAILED,VEL2,Velachery,Chennai,DEBIT CARD,Invalid Account Number
TXN92332,2025-05-07,7829,SUCCESS,VEL8,Velachery,Chennai,CREDIT CARD,
