TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN11531,2025-05-01,1968,SUCCESS,VIM4,Viman Nagar,Pune,DEBIT CARD,
TXN13813,2025-05-01,4497,FAILED,VIM4,Viman Nagar,Pune,CREDIT CARD,Invalid Account Number
TXN38127,2025-05-01,4542,SUCCESS,VIM6,Viman Nagar,Pune,CREDIT CARD,
TXN75822,2025-05-01,9905,FAILED,VIM5,Viman Nagar,Pune,NEFT,Network Timeout
TXN95025,2025-05-01,7535,FAILED,VIM7,Viman Nagar,Pune,CREDIT CARD,Invalid Account Number
TXN82754,2025-05-01,5604,SUCCESS,VIM8,Viman Nagar,Pune,DEBIT CARD,
TXN91001,2025-05-01,8631,FAILED,VIM3,Viman Nagar,Pune,CREDIT CARD,Network Timeout
TXN35278,2025-05-02,407,SUCCESS,VIM7,Viman Nagar,Pune,DEBIT CARD,
TXN56095,2025-05-02,3642,FAILED,VIM2,Viman Nagar,Pune,CREDIT CARD,Technical Error
TXN66859,2025-05-02,6167,FAILED,VIM4,Viman Nagar,Pune,DEBIT CARD,Invalid Account Number
TXN86151,2025-05-02,2776,SUCCESS,VIM4,Viman Nagar,Pune,CREDIT CARD,
TXN96096,2025-05-02,897,SUCCESS,VIM3,Viman Nagar,Pune,DEBIT CARD,
TXN23426,2025-05-02,7616,SUCCESS,VIM7,Viman Nagar,Pune,DEBIT CARD,
TXN82572,2025-05-02,474,FAILED,VIM7,Viman Nagar,Pune,CREDIT CARD,Invalid Account Number
TXN54208,2025-05-03,1061,FAILED,VIM3,Viman Nagar,Pune,CREDIT CARD,Account Blocked
TXN90508,2025-05-03,3649,FAILED,VIM5,Viman Nagar,Pune,DEBIT CARD,Technical Error
TXN98372,2025-05-03,7721,SUCCESS,VIM1,Viman Nagar,Pune,DEBIT CARD,
TXN56687,2025-05-03,7465,SUCCESS,VIM6,Viman Nagar,Pune,NEFT,
TXN99061,2025-05-03,2607,FAILED,VIM1,Viman Nagar,Pune,CREDIT CARD,Exceeded Limit
TXN17977,2025-05-03,2283,FAILED,VIM7,Viman Nagar,Pune,NEFT,Exceeded Limit
TXN55692,2025-05-03,3118,FAILED,VIM6,Viman Nagar,Pune,DEBIT CARD,Technical Error
TXN53880,2025-05-04,430,SUCCESS,VIM9,Viman Nagar,Pune,CASH,
TXN79874,2025-05-04,1690,SUCCESS,VIM2,Viman Nagar,Pune,CASH,
TXN83532,2025-05-04,7168,SUCCESS,VIM6,Viman Nagar,Pune,DEBIT CARD,
TXN65552,2025-05-04,3682,SUCCESS,VIM5,Viman Nagar,Pune,DEBIT CARD,
TXN86410,2025-05-04,6385,SUCCESS,VIM3,Viman Nagar,Pune,DEBIT CARD,
TXN92149,2025-05-04,9207,SUCCESS,VIM9,Viman Nagar,Pune,NEFT,
TXN16762,2025-05-04,3345,SUCCESS,VIM7,Viman Nagar,Pune,NEFT,
TXN56653,2025-05-05,6764,SUCCESS,VIM4,Viman Nagar,Pune,DEBIT CARD,
TXN68133,2025-05-05,3249,FAILED,VIM2,Viman Nagar,Pune,CASH,Account Blocked
TXN36643,2025-05-05,2401,SUCCESS,VIM6,Viman Nagar,Pune,NEFT,
TXN35706,2025-05-05,3766,FAILED,VIM2,Viman Nagar,Pune,CREDIT CARD,Account Blocked
TXN41170,2025-05-05,7027,SUCCESS,VIM4,Viman Nagar,Pune,DEBIT CARD,
TXN15056,2025-05-05,887,FAILED,VIM2,Viman Nagar,Pune,CREDIT CARD,Insufficient Funds
TXN84277,2025-05-05,2211,SUCCESS,VIM4,Viman Nagar,Pune,NEFT,
TXN78413,2025-05-06,6795,FAILED,VIM1,Viman Nagar,Pune,CREDIT CARD,Exceeded Limit
TXN93656,2025-05-06,3174,SUCCESS,VIM7,Viman Nagar,Pune,NEFT,
TXN61774,2025-05-06,8096,SUCCESS,VIM2,Viman Nagar,Pune,CREDIT CARD,
TXN84798,2025-05-06,9586,FAILED,VIM6,Viman Nagar,Pune,CREDIT CARD,Technical Error
TXN88773,2025-05-06,485,SUCCESS,VIM8,Viman Nagar,Pune,CREDIT CARD,
TXN49164,2025-05-06,1829,SUCCESS,VIM6,Viman Nagar,Pune,CASH,
TXN19673,2025-05-06,8719,SUCCESS,VIM3,Viman Nagar,Pune,NEFT,
TXN58541,2025-05-07,1583,FAILED,VIM7,Viman Nagar,Pune,DEBIT CARD,Invalid Account Number
TXN65685,2025-05-07,5817,FAILED,VIM5,Viman Nagar,Pune,CREDIT CARD,Insufficient Funds
TXN54982,2025-05-07,6749,SUCCESS,VIM5,Viman Nagar,Pune,CREDIT CARD,
TXN12710,2025-05-07,5137,SUCCESS,VIM2,Viman Nagar,Pune,CASH,
TXN13142,2025-05-07,5333,SUCCESS,VIM4,Viman Nagar,Pune,CASH,
TXN55602,2025-05-07,10000,SUCCESS,VIM9,Viman Nagar,Pune,CREDIT CARD,
TXN40609,2025-05-07,4745,SUCCESS,VIM9,Viman Nagar,Pune,DEBIT CARD,
