TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN94774,2025-05-01,7416,SUCCESS,WHI3,Whitefield,Bangalore,NEFT,
TXN21939,2025-05-01,5904,SUCCESS,WHI4,Whitefield,Bangalore,DEBIT CARD,
TXN95224,2025-05-01,3237,FAILED,WHI5,Whitefield,Bangalore,CREDIT CARD,Insufficient Funds
TXN22649,2025-05-01,6199,SUCCESS,WHI9,Whitefield,Bangalore,DEBIT CARD,
TXN54967,2025-05-01,865,FAILED,WHI9,Whitefield,Bangalore,CASH,Account Blocked
TXN88078,2025-05-01,6544,SUCCESS,WHI5,Whitefield,Bangalore,DEBIT CARD,
TXN36975,2025-05-01,9991,FAILED,WHI3,Whitefield,Bangalore,CREDIT CARD,Insufficient Funds
TXN15555,2025-05-02,1153,SUCCESS,WHI4,Whitefield,Bangalore,DEBIT CARD,
TXN69822,2025-05-02,9841,SUCCESS,WHI1,Whitefield,Bangalore,CASH,
TXN26934,2025-05-02,6211,FAILED,WHI3,Whitefield,Bangalore,CREDIT CARD,Account Blocked
TXN33639,2025-05-02,6944,FAILED,WHI7,Whitefield,Bangalore,NEFT,Insufficient Funds
TXN33777,2025-05-02,4471,SUCCESS,WHI3,Whitefield,Bangalore,DEBIT CARD,
TXN85904,2025-05-02,4722,SUCCESS,WHI8,Whitefield,Bangalore,CASH,
TXN21920,2025-05-02,170,FAILED,WHI2,Whitefield,Bangalore,CREDIT CARD,Invalid Account Number
TXN10374,2025-05-03,2238,SUCCESS,WHI3,Whitefield,Bangalore,DEBIT CARD,
TXN11963,2025-05-03,646,SUCCESS,WHI6,Whitefield,Bangalore,NEFT,
TXN18817,2025-05-03,1291,SUCCESS,WHI4,Whitefield,Bangalore,NEFT,
TXN87804,2025-05-03,8154,SUCCESS,WHI9,Whitefield,Bangalore,CASH,
TXN71236,2025-05-03,6710,FAILED,WHI2,Whitefield,Bangalore,NEFT,Network Timeout
TXN24547,2025-05-03,3616,FAILED,WHI6,Whitefield,Bangalore,CREDIT CARD,Technical Error
TXN39944,2025-05-03,2558,SUCCESS,WHI7,Whitefield,Bangalore,NEFT,
TXN11339,2025-05-04,9134,FAILED,WHI4,Whitefield,Bangalore,NEFT,Invalid Account Number
TXN42900,2025-05-04,2490,SUCCESS,WHI9,Whitefield,Bangalore,CASH,
TXN20186,2025-05-04,2402,SUCCESS,WHI6,Whitefield,Bangalore,DEBIT CARD,
TXN26878,2025-05-04,6777,SUCCESS,WHI5,Whitefield,Bangalore,CREDIT CARD,
TXN47232,2025-05-04,2514,SUCCESS,WHI8,Whitefield,Bangalore,NEFT,
TXN58603,2025-05-04,8452,SUCCESS,WHI1,Whitefield,Bangalore,NEFT,
TXN69056,2025-05-04,3091,FAILED,WHI7,Whitefield,Bangalore,CREDIT CARD,Invalid Account Number
TXN81653,2025-05-05,1248,FAILED,WHI8,Whitefield,Bangalore,CASH,Invalid Account Number
TXN47441,2025-05-05,8616,SUCCESS,WHI6,Whitefield,Bangalore,DEBIT CARD,
TXN93041,2025-05-05,2059,SUCCESS,WHI2,Whitefield,Bangalore,CASH,
TXN48693,2025-05-05,6241,SUCCESS,WHI4,Whitefield,Bangalore,NEFT,
TXN20181,2025-05-05,4038,SUCCESS,WHI3,Whitefield,Bangalore,CASH,
TXN26429,2025-05-05,9368,SUCCESS,WHI6,Whitefield,Bangalore,CASH,
TXN29958,2025-05-05,3346,SUCCESS,WHI2,Whitefield,Bangalore,CASH,
TXN17833,2025-05-06,3391,SUCCESS,WHI2,Whitefield,Bangalore,DEBIT CARD,
TXN79909,2025-05-06,6012,FAILED,WHI5,Whitefield,Bangalore,DEBIT CARD,Technical Error
TXN24957,2025-05-06,5770,FAILED,WHI4,Whitefield,Bangalore,DEBIT CARD,Technical Error
TXN10417,2025-05-06,9287,SUCCESS,WHI6,Whitefield,Bangalore,CASH,
TXN10364,2025-05-06,5817,SUCCESS,WHI3,Whitefield,Bangalore,CASH,
TXN51556,2025-05-06,2267,FAILED,WHI9,Whitefield,Bangalore,NEFT,Insufficient Funds
TXN68680,2025-05-06,1485,SUCCESS,WHI2,Whitefield,Bangalore,DEBIT CARD,
TXN88883,2025-05-07,7970,SUCCESS,WHI8,Whitefield,Bangalore,CREDIT CARD,
TXN26942,2025-05-07,5320,FAILED,WHI1,Whitefield,Bangalore,NEFT,Exceeded Limit
TXN26966,2025-05-07,3294,SUCCESS,WHI6,Whitefield,Bangalore,CREDIT CARD,
TXN60419,2025-05-07,8790,SUCCESS,WHI8,Whitefield,Bangalore,DEBIT CARD,
TXN20423,2025-05-07,9229,SUCCESS,WHI2,Whitefield,Bangalore,NEFT,
TXN92643,2025-05-07,608,SUCCESS,WHI1,Whitefield,Bangalore,CASH,
TXN70447,2025-05-07,9531,SUCCESS,WHI7,Whitefield,Bangalore,DEBIT CARD,
